Year,UnitType,MeanRent
2010.363,MR,3582
2010.363,RS,1440
2010.729,MR,3564
2010.729,RS,1464
2010.684,MR,3564
2010.684,RS,1464
2011.05,MR,3576
2011.05,RS,1488
2011.006,MR,3576
2011.006,RS,1488
2011.373,MR,3636
2011.373,RS,1524
2011.328,MR,3636
2011.328,RS,1524
2011.695,MR,3708
2011.695,RS,1560
2011.65,MR,3708
2011.65,RS,1560
2012.017,MR,3774
2012.017,RS,1596
2011.972,MR,3774
2011.972,RS,1596
2012.339,MR,3816
2012.339,RS,1620
2012.294,MR,3816
2012.294,RS,1620
2012.661,MR,3858
2012.661,RS,1638.0000000000002
2012.616,MR,3858
2012.616,RS,1638.0000000000002
2012.983,MR,3900
2012.983,RS,1662.0000000000002
2012.937,MR,3900
2012.937,RS,1662.0000000000002
2013.305,MR,3936
2013.305,RS,1697.9999999999998
2013.259,MR,3936
2013.259,RS,1697.9999999999998
2013.627,MR,3972
2013.627,RS,1733.9999999999998
2013.581,MR,3972
2013.581,RS,1733.9999999999998
2013.948,MR,4002
2013.948,RS,1776
2013.903,MR,4002
2013.903,RS,1776
2014.27,MR,4026.0000000000005
2014.27,RS,1806
2014.225,MR,4026.0000000000005
2014.225,RS,1806
2014.592,MR,4050.0000000000005
2014.592,RS,1836
2014.547,MR,4050.0000000000005
2014.547,RS,1836
2014.914,MR,4074.0000000000005
2014.914,RS,1866
2014.869,MR,4074.0000000000005
2014.869,RS,1866
2015.236,MR,4086.0000000000005
2015.236,RS,1890
2015.191,MR,4086.0000000000005
2015.191,RS,1890
2015.557,MR,4098
2015.557,RS,1908
2015.512,MR,4098
2015.512,RS,1908
2015.879,MR,4104
2015.879,RS,1932
2015.834,MR,4104
2015.834,RS,1932
2016.201,MR,4116
2016.201,RS,1926
2016.156,MR,4116
2016.156,RS,1926
2016.522,MR,4122
2016.522,RS,1908
2016.477,MR,4122
2016.477,RS,1908
2016.844,MR,4128
2016.844,RS,1884
2016.799,MR,4128
2016.799,RS,1884
2017.166,MR,4128
2017.166,RS,1878
2017.12,MR,4128
2017.12,RS,1878
2017.487,MR,4128
2017.487,RS,1902
2017.442,MR,4128
2017.442,RS,1902
2017.809,MR,4110
2017.809,RS,1920
2017.764,MR,4110
2017.764,RS,1920
2018.131,MR,4140
2018.131,RS,1944
2018.086,MR,4140
2018.086,RS,1944
2018.453,MR,4194
2018.453,RS,1962
2018.408,MR,4194
2018.408,RS,1962
2018.775,MR,4248
2018.775,RS,1980
2018.729,MR,4248
2018.729,RS,1980
2019.097,MR,4260
2019.097,RS,1980
2019.051,MR,4260
2019.051,RS,1980
2019.418,MR,4200
2019.418,RS,1950
2019.373,MR,4200
2019.373,RS,1950
2019.739,MR,4134
2019.739,RS,1914
2019.694,MR,4134
2019.694,RS,1914
2020.061,MR,4098
2020.061,RS,1896
2020.015,MR,4098
2020.015,RS,1896
2020.382,MR,4092.0000000000005
2020.382,RS,1908
2020.337,MR,4092.0000000000005
2020.337,RS,1908
2020.704,MR,4092.0000000000005
2020.704,RS,1920
2020.659,MR,4092.0000000000005
2020.659,RS,1920
2020.997,MR,4146
2020.997,RS,1926
2020.937,MR,4146
2020.937,RS,1926
2021.217,MR,4332
2021.394,MR,4500
2021.573,MR,4662
2021.747,MR,4836
2021.968,MR,5028
2022.261,MR,5130
2022.583,MR,5214
2022.906,MR,5292
