id,sample_var,sample,coefficient,estimate,std_error,t_value,pr_t,year,exp_est,exp_diff_est
1,spec_or_not,0,year::-7,-0.00723887468271483,0.007539391451247807,-0.9601404476108958,0.3369845340059541,-7,0.992787262863786,-0.007212737136213954
1,spec_or_not,0,year::-6,2.474182085874894e-4,0.0076662502616057305,0.032273693154346174,0.9742537880945521,-6,1.000247448818997,2.474488189969648e-4
1,spec_or_not,0,year::-5,-0.00784198751808785,0.004161890039780596,-1.8842370757352491,0.05953291457721308,-5,0.9921886806472113,-0.00781131935278867
1,spec_or_not,0,year::-4,-0.00951954948235962,0.003202954336707483,-2.972115266602695,0.002957556248750703,-4,0.990525617990523,-0.009474382009477034
1,spec_or_not,0,year::-3,-0.004888301666010799,0.002756709465835146,-1.773237886180322,0.07618929663489159,-3,0.9951236266362832,-0.004876373363716824
1,spec_or_not,0,year::-2,-0.004238106107081384,0.001966353358540938,-2.155312568147018,0.031137382955566544,-2,0.9957708619908826,-0.004229138009117395
1,spec_or_not,0,year::0,-0.0012357475848713971,0.0018681907033495653,-0.6614675807216941,0.5083124985768791,0,0.9987650156367599,-0.0012349843632400992
1,spec_or_not,0,year::1,-4.478906978343121e-4,0.0025263087091723364,-0.17729056477070415,0.8592801616230612,1,0.99955220959023106,-4.4779040976894446e-4
1,spec_or_not,0,year::2,-0.001324771732313101,0.002829284149953232,-0.46823566036483094,0.6396160732973867,2,0.9986761053903864,-0.001323894609613574
1,spec_or_not,0,year::3,-0.008085190800275597,0.0035573769362761275,-2.2727956427184797,0.023038497750374066,3,0.9919474064440567,-0.008052593555943344
1,spec_or_not,0,year::4,-0.012338709299586269,0.004626539203425813,-2.6669414776491736,0.007654499945498416,4,0.987737100455492,-0.012262899544507988
1,spec_or_not,0,year::5,-0.013151337549775929,0.005836077511377767,-2.2534549145614746,0.024230480399860692,5,0.9869347634289213,-0.01306523657107872
1,spec_or_not,0,year::6,-0.0127365242994133,0.0070065643334906716,-1.817798808830456,0.06909488877857273,6,0.9873442419687256,-0.012655758031274389
1,spec_or_not,0,year::7,-0.02772186719018438,0.007610495060810732,-3.642583953957815,2.699149040305103e-4,7,0.9726588575243661,-0.027341142475633906
2,spec_or_not,1,year::-7,0.02307611289933173,0.034926400573520595,0.6607068727496316,0.5088003154205014,-7,1.023344426294387,0.023344426294386933
2,spec_or_not,1,year::-6,0.030443471956035962,0.031968632205677125,0.9522919767155281,0.3409489257131905,-6,1.0309116129846703,0.030911612984670267
2,spec_or_not,1,year::-5,-0.005113376708344336,0.018441912944930996,-0.2772693225270763,0.781573313519951,-5,0.9948996743478717,-0.005100325652128257
2,spec_or_not,1,year::-4,-0.0025942396366300906,0.01577006979556148,-0.16450400475464255,0.869334394358767,-4,0.9974091224949959,-0.0025908775050040855
2,spec_or_not,1,year::-3,-0.020411735484955094,0.01549409547632182,-1.3173880021682094,0.1877086004963201,-3,0.979795173803881,-0.020204826196118963
2,spec_or_not,1,year::-2,-0.0173041228250517,0.019844507202907233,-0.87198551458696,0.3832162799398681,-2,0.9828447336613182,-0.017155266338681807
2,spec_or_not,1,year::0,-0.0337004321973879,0.02104684509553757,-1.6012106348677024,0.10933027414817283,0,0.9668611017140326,-0.03313889828596739
2,spec_or_not,1,year::1,-0.020620339181371142,0.021848539719672305,-0.9437856921304769,0.34527917355920623,1,0.9795908062255522,-0.02040919377444783
2,spec_or_not,1,year::2,-0.029220825554323128,0.023630754517023164,-1.2365591430131009,0.21625079602581118,2,0.971201974570657,-0.028798025429342955
2,spec_or_not,1,year::3,-0.05225830012816318,0.022290687804867235,-2.344400522120831,0.01905769362088829,3,0.9490836867413041,-0.050916313258695944
2,spec_or_not,1,year::4,-0.04957804201344052,0.024463341401480532,-2.026625929785701,0.04270068269396129,4,0.9516308880478508,-0.04836911195214921
2,spec_or_not,1,year::5,-0.08776411557053618,0.043983876815582176,-1.9953701657204526,0.04600252234595953,5,0.9159769159343981,-0.08402308406560188
2,spec_or_not,1,year::6,-0.12868346063840042,0.045532401673668906,-2.826195322633667,0.004710453144511784,6,0.8792522394434971,-0.12074776055650294
2,spec_or_not,1,year::7,-0.18360739420012873,0.09530652958306586,-1.9264933368505763,0.05404280304297427,7,0.8322624907737735,-0.16773750922622654
1,spec_or_not,0,NA,0,0,0,0,-1,0,0
2,spec_or_not,1,NA,0,0,0,0,-1,0,0
