Year,Borough,BoroPUP,as.factor(Year),CityPUP
2017.99,BKsv,197025.94,2017.99,175600.32
2017.99,MNsv,209770.84,2017.99,175600.32
2017.99,QNsv,175380.7,2017.99,175600.32
2017.89,BXsv,121703.39,2017.89,177273.8275
2017.89,BKsv,201288.85,2017.89,177273.8275
2017.89,MNsv,204644.91,2017.89,177273.8275
2017.89,QNsv,181458.16,2017.89,177273.8275
2017.27,BXsv,121703.39,2017.27,177273.8275
2017.27,BKsv,201288.85,2017.27,177273.8275
2017.27,MNsv,204644.91,2017.27,177273.8275
2017.27,QNsv,181458.16,2017.27,177273.8275
2018.61,BXsv,121703.39,2018.61,177273.8275
2018.61,BKsv,201288.85,2018.61,177273.8275
2018.61,MNsv,204644.91,2018.61,177273.8275
2018.61,QNsv,181458.16,2018.61,177273.8275
2018.18,BXsv,121703.39,2018.18,182060.04375
2018.18,BKsv,201288.85,2018.18,182060.04375
2018.18,MNsv,204644.91,2018.18,182060.04375
2018.18,QNsv,181458.16,2018.18,182060.04375
2018.11,BXsv,121332.3,2018.11,179627.55000000002
2018.11,BKsv,207183.57,2018.11,179627.55000000002
2018.11,MNsv,202223.82,2018.11,179627.55000000002
2018.11,QNsv,187770.51,2018.11,179627.55000000002
2017.53,BXsv,121332.3,2017.53,179627.55000000002
2017.53,BKsv,207183.57,2017.53,179627.55000000002
2017.53,MNsv,202223.82,2017.53,179627.55000000002
2017.53,QNsv,187770.51,2017.53,179627.55000000002
2018.86,BXsv,121332.3,2018.86,179627.55000000002
2018.86,BKsv,207183.57,2018.86,179627.55000000002
2018.86,MNsv,202223.82,2018.86,179627.55000000002
2018.86,QNsv,187770.51,2018.86,179627.55000000002
2018.36,BXsv,121332.3,2018.36,179627.55000000002
2018.36,BKsv,207183.57,2018.36,179627.55000000002
2018.36,MNsv,202223.82,2018.36,179627.55000000002
2018.36,QNsv,187770.51,2018.36,179627.55000000002
2018.33,BXsv,119110.52,2018.33,182861.2375
2018.33,BKsv,213078.28,2018.33,182861.2375
2018.33,MNsv,205347.49,2018.33,182861.2375
2018.33,QNsv,193908.66,2018.33,182861.2375
2017.75,BXsv,119110.52,2017.75,182861.2375
2017.75,BKsv,213078.28,2017.75,182861.2375
2017.75,MNsv,205347.49,2017.75,182861.2375
2017.75,QNsv,193908.66,2017.75,182861.2375
2019.12,BXsv,119110.52,2019.12,182861.2375
2019.12,BKsv,213078.28,2019.12,182861.2375
2019.12,MNsv,205347.49,2019.12,182861.2375
2019.12,QNsv,193908.66,2019.12,182861.2375
2018.58,BXsv,119110.52,2018.58,181714.83375
2018.58,BKsv,213078.28,2018.58,181714.83375
2018.58,MNsv,205347.49,2018.58,181714.83375
2018.58,QNsv,193908.66,2018.58,181714.83375
2018.57,BXsv,115664.45,2018.57,185665.3875
2018.57,BKsv,218024.53,2018.57,185665.3875
2018.57,MNsv,211534.32,2018.57,185665.3875
2018.57,QNsv,197438.25,2018.57,185665.3875
2017.94,BXsv,115664.45,2017.94,185665.3875
2017.94,BKsv,218024.53,2017.94,185665.3875
2017.94,MNsv,211534.32,2017.94,185665.3875
2017.94,QNsv,197438.25,2017.94,185665.3875
2019.37,BXsv,115664.45,2019.37,185665.3875
2019.37,BKsv,218024.53,2019.37,185665.3875
2019.37,MNsv,211534.32,2019.37,185665.3875
2019.37,QNsv,197438.25,2019.37,185665.3875
2018.83,BXsv,115664.45,2018.83,185665.3875
2018.83,BKsv,218024.53,2018.83,185665.3875
2018.83,MNsv,211534.32,2018.83,185665.3875
2018.83,QNsv,197438.25,2018.83,185665.3875
2018.82,BXsv,111535.04,2018.82,186957.2625
2018.82,BKsv,219304.82,2018.82,186957.2625
2018.82,MNsv,218498.43,2018.82,186957.2625
2018.82,QNsv,198490.76,2018.82,186957.2625
2018.07,BXsv,111535.04,2018.07,186957.2625
2018.07,BKsv,219304.82,2018.07,186957.2625
2018.07,MNsv,218498.43,2018.07,186957.2625
2018.07,QNsv,198490.76,2018.07,186957.2625
2019.63,BXsv,111535.04,2019.63,186957.2625
2019.63,BKsv,219304.82,2019.63,186957.2625
2019.63,MNsv,218498.43,2019.63,186957.2625
2019.63,QNsv,198490.76,2019.63,186957.2625
2019.09,BXsv,111535.04,2019.09,186957.2625
2019.09,BKsv,219304.82,2019.09,186957.2625
2019.09,MNsv,218498.43,2019.09,186957.2625
2019.09,QNsv,198490.76,2019.09,186957.2625
2019.08,BXsv,107434.1,2019.08,179398.1025
2019.08,BKsv,216855.27,2019.08,179398.1025
2019.08,MNsv,225460.03,2019.08,179398.1025
2019.08,QNsv,197635.64,2019.08,179398.1025
2018.18,BXsv,107434.1,2018.18,182060.04375
2018.18,BKsv,216855.27,2018.18,182060.04375
2018.18,MNsv,225460.03,2018.18,182060.04375
2018.18,QNsv,197635.64,2018.18,182060.04375
2019.89,BXsv,107434.1,2019.89,186846.26
2019.89,BKsv,216855.27,2019.89,186846.26
2019.89,MNsv,225460.03,2019.89,186846.26
2019.89,QNsv,197635.64,2019.89,186846.26
2019.34,BXsv,107434.1,2019.34,186100.785
2019.34,BKsv,216855.27,2019.34,186100.785
2019.34,MNsv,225460.03,2019.34,186100.785
2019.34,QNsv,197635.64,2019.34,186100.785
2019.34,BXsv,102479,2019.34,186100.785
2019.34,BKsv,212270.31,2019.34,186100.785
2019.34,MNsv,231855.98,2019.34,186100.785
2019.34,QNsv,194815.95,2019.34,186100.785
2018.3,BXsv,102479,2018.3,185355.31
2018.3,BKsv,212270.31,2018.3,185355.31
2018.3,MNsv,231855.98,2018.3,185355.31
2018.3,QNsv,194815.95,2018.3,185355.31
2020.14,BXsv,102479,2020.14,185355.31
2020.14,BKsv,212270.31,2020.14,185355.31
2020.14,MNsv,231855.98,2020.14,185355.31
2020.14,QNsv,194815.95,2020.14,185355.31
2019.6,BXsv,102479,2019.6,185355.31
2019.6,BKsv,212270.31,2019.6,185355.31
2019.6,MNsv,231855.98,2019.6,185355.31
2019.6,QNsv,194815.95,2019.6,185355.31
2019.59,BXsv,97125.29,2019.59,183084.3125
2019.59,BKsv,207087.43,2019.59,183084.3125
2019.59,MNsv,238206.73,2019.59,183084.3125
2019.59,QNsv,189917.8,2019.59,183084.3125
2018.39,BXsv,97125.29,2018.39,183084.3125
2018.39,BKsv,207087.43,2018.39,183084.3125
2018.39,MNsv,238206.73,2018.39,183084.3125
2018.39,QNsv,189917.8,2018.39,183084.3125
2020.4,BXsv,97125.29,2020.4,NA
2020.4,BKsv,207087.43,2020.4,NA
2020.4,MNsv,238206.73,2020.4,NA
2020.4,QNsv,189917.8,2020.4,NA
2019.85,BXsv,97125.29,2019.85,183084.3125
2019.85,BKsv,207087.43,2019.85,183084.3125
2019.85,MNsv,238206.73,2019.85,183084.3125
2019.85,QNsv,189917.8,2019.85,183084.3125
2019.86,BXsv,92170.19,2019.86,180568.43
2019.86,BKsv,202428.67,2019.86,180568.43
2019.86,MNsv,244819.29,2019.86,180568.43
2019.86,QNsv,182855.57,2019.86,180568.43
2018.58,BXsv,92170.19,2018.58,181714.83375
2018.58,BKsv,202428.67,2018.58,181714.83375
2018.58,MNsv,244819.29,2018.58,181714.83375
2018.58,QNsv,182855.57,2018.58,181714.83375
2020.66,BXsv,92170.19,2020.66,180568.43
2020.66,BKsv,202428.67,2020.66,180568.43
2020.66,MNsv,244819.29,2020.66,180568.43
2020.66,QNsv,182855.57,2020.66,180568.43
2020.08,BXsv,92170.19,2020.08,180568.43
2020.08,BKsv,202428.67,2020.08,180568.43
2020.08,MNsv,244819.29,2020.08,180568.43
2020.08,QNsv,182855.57,2020.08,180568.43
2020.11,BXsv,88553.28,2020.11,176849.7525
2020.11,BKsv,198145.28,2020.11,176849.7525
2020.11,MNsv,245587.08,2020.11,176849.7525
2020.11,QNsv,175113.37,2020.11,176849.7525
2018.84,BXsv,88553.28,2018.84,176849.7525
2018.84,BKsv,198145.28,2018.84,176849.7525
2018.84,MNsv,245587.08,2018.84,176849.7525
2018.84,QNsv,175113.37,2018.84,176849.7525
2020.91,BXsv,88553.28,2020.91,169625.39375
2020.91,BKsv,198145.28,2020.91,169625.39375
2020.91,MNsv,245587.08,2020.91,169625.39375
2020.91,QNsv,175113.37,2020.91,169625.39375
2020.27,BXsv,88553.28,2020.27,176849.7525
2020.27,BKsv,198145.28,2020.27,176849.7525
2020.27,MNsv,245587.08,2020.27,176849.7525
2020.27,QNsv,175113.37,2020.27,176849.7525
2020.36,BXsv,86844,2020.36,171949.945
2020.36,BKsv,193645.74,2020.36,171949.945
2020.36,MNsv,240095.46,2020.36,171949.945
2020.36,QNsv,167214.58,2020.36,171949.945
2019.08,BXsv,86844,2019.08,179398.1025
2019.08,BKsv,193645.74,2019.08,179398.1025
2019.08,MNsv,240095.46,2019.08,179398.1025
2019.08,QNsv,167214.58,2019.08,179398.1025
2021.17,BXsv,86844,2021.17,165572.805
2021.17,BKsv,193645.74,2021.17,165572.805
2021.17,MNsv,240095.46,2021.17,165572.805
2021.17,QNsv,167214.58,2021.17,165572.805
2020.45,BXsv,86844,2020.45,171949.945
2020.45,BKsv,193645.74,2020.45,171949.945
2020.45,MNsv,240095.46,2020.45,171949.945
2020.45,QNsv,167214.58,2020.45,171949.945
2020.62,BXsv,86359.02,2020.62,166735.855
2020.62,BKsv,189459.38,2020.62,166735.855
2020.62,MNsv,232061.55,2020.62,166735.855
2020.62,QNsv,159063.47,2020.62,166735.855
2019.28,BXsv,86359.02,2019.28,166735.855
2019.28,BKsv,189459.38,2019.28,166735.855
2019.28,MNsv,232061.55,2019.28,166735.855
2019.28,QNsv,159063.47,2019.28,166735.855
2021.43,BXsv,86359.02,2021.43,166735.855
2021.43,BKsv,189459.38,2021.43,166735.855
2021.43,MNsv,232061.55,2021.43,166735.855
2021.43,QNsv,159063.47,2021.43,166735.855
2020.67,BXsv,86359.02,2020.67,166735.855
2020.67,BKsv,189459.38,2020.67,166735.855
2020.67,MNsv,232061.55,2020.67,166735.855
2020.67,QNsv,159063.47,2020.67,166735.855
2020.88,BXsv,86301.13,2020.88,162401.035
2020.88,BKsv,186326.5,2020.88,162401.035
2020.88,MNsv,224529.32,2020.88,162401.035
2020.88,QNsv,152447.19,2020.88,162401.035
2019.43,BXsv,86301.13,2019.43,162401.035
2019.43,BKsv,186326.5,2019.43,162401.035
2019.43,MNsv,224529.32,2019.43,162401.035
2019.43,QNsv,152447.19,2019.43,162401.035
2021.68,BXsv,86301.13,2021.68,NA
2021.68,BKsv,186326.5,2021.68,NA
2021.68,MNsv,224529.32,2021.68,NA
2021.68,QNsv,152447.19,2021.68,NA
2020.91,BXsv,86301.13,2020.91,169625.39375
2020.91,BKsv,186326.5,2020.91,169625.39375
2020.91,MNsv,224529.32,2020.91,169625.39375
2020.91,QNsv,152447.19,2020.91,169625.39375
2021.13,BXsv,86136.63,2021.13,159195.665
2021.13,BKsv,184332.5,2021.13,159195.665
2021.13,MNsv,216970.75,2021.13,159195.665
2021.13,QNsv,149342.78,2021.13,159195.665
2019.58,BXsv,86136.63,2019.58,159195.665
2019.58,BKsv,184332.5,2019.58,159195.665
2019.58,MNsv,216970.75,2019.58,159195.665
2019.58,QNsv,149342.78,2019.58,159195.665
2021.92,BXsv,86136.63,2021.92,159195.665
2021.92,BKsv,184332.5,2021.92,159195.665
2021.92,MNsv,216970.75,2021.92,159195.665
2021.92,QNsv,149342.78,2021.92,159195.665
2021.17,BXsv,86136.63,2021.17,165572.805
2021.17,BKsv,184332.5,2021.17,165572.805
2021.17,MNsv,216970.75,2021.17,165572.805
2021.17,QNsv,149342.78,2021.17,165572.805
2021.39,BXsv,NA,2021.39,NA
2021.39,BKsv,183221.13,2021.39,NA
2021.39,MNsv,208666.98,2021.39,NA
2021.39,QNsv,148373.78,2021.39,NA
2019.72,BXsv,NA,2019.72,NA
2019.72,BKsv,183221.13,2019.72,NA
2019.72,MNsv,208666.98,2019.72,NA
2019.72,QNsv,148373.78,2019.72,NA
2021.42,BXsv,NA,2021.42,NA
2021.42,BKsv,183221.13,2021.42,NA
2021.42,MNsv,208666.98,2021.42,NA
2021.42,QNsv,148373.78,2021.42,NA
2021.64,BXsv,NA,2021.64,NA
2021.64,BKsv,182309.07,2021.64,NA
2021.64,MNsv,201498.7,2021.64,NA
2021.64,QNsv,148315.88,2021.64,NA
2019.83,BXsv,NA,2019.83,NA
2019.83,BKsv,182309.07,2019.83,NA
2019.83,MNsv,201498.7,2019.83,NA
2019.83,QNsv,148315.88,2019.83,NA
2021.68,BXsv,NA,2021.68,NA
2021.68,BKsv,182309.07,2021.68,NA
2021.68,MNsv,201498.7,2021.68,NA
2021.68,QNsv,148315.88,2021.68,NA
2021.89,BXsv,NA,2021.89,NA
2021.89,BKsv,181535.27,2021.89,NA
2021.89,MNsv,193730.65,2021.89,NA
2021.89,QNsv,147937.48,2021.89,NA
2019.96,BXsv,NA,2019.96,NA
2019.96,BKsv,181535.27,2019.96,NA
2019.96,MNsv,193730.65,2019.96,NA
2019.96,QNsv,147937.48,2019.96,NA
2021.9,BXsv,NA,2021.9,NA
2021.9,BKsv,181535.27,2021.9,NA
2021.9,MNsv,193730.65,2021.9,NA
2021.9,QNsv,147937.48,2021.9,NA
2020.09,BXsv,NA,2020.09,NA
2020.09,BKsv,NA,2020.09,NA
2020.09,MNsv,186138.85,2020.09,NA
2020.09,QNsv,NA,2020.09,NA
2020.19,BXsv,NA,2020.19,NA
2020.19,BKsv,NA,2020.19,NA
2020.19,MNsv,174156.5,2020.19,NA
2020.19,QNsv,NA,2020.19,NA
2020.31,BXsv,NA,2020.31,NA
2020.31,BKsv,NA,2020.31,NA
2020.31,MNsv,166070.74,2020.31,NA
2020.31,QNsv,NA,2020.31,NA
2020.4,BXsv,NA,2020.4,NA
2020.4,BKsv,NA,2020.4,NA
2020.4,MNsv,158997.68,2020.4,NA
2020.4,QNsv,NA,2020.4,NA
2020.5,BXsv,NA,2020.5,NA
2020.5,BKsv,NA,2020.5,NA
2020.5,MNsv,151426.99,2020.5,NA
2020.5,QNsv,NA,2020.5,NA
2020.59,BXsv,NA,2020.59,NA
2020.59,BKsv,NA,2020.59,NA
2020.59,MNsv,144091.19,2020.59,NA
2020.59,QNsv,NA,2020.59,NA
2020.7,BXsv,NA,2020.7,NA
2020.7,BKsv,NA,2020.7,NA
2020.7,MNsv,136433.49,2020.7,NA
2020.7,QNsv,NA,2020.7,NA
2020.85,BXsv,NA,2020.85,NA
2020.85,BKsv,NA,2020.85,NA
2020.85,MNsv,128962.3,2020.85,NA
2020.85,QNsv,NA,2020.85,NA
2021.09,BXsv,NA,2021.09,NA
2021.09,BKsv,NA,2021.09,NA
2021.09,MNsv,120917.61,2021.09,NA
2021.09,QNsv,NA,2021.09,NA
2021.34,BXsv,NA,2021.34,NA
2021.34,BKsv,NA,2021.34,NA
2021.34,MNsv,115990.98,2021.34,NA
2021.34,QNsv,NA,2021.34,NA
2021.6,BXsv,NA,2021.6,NA
2021.6,BKsv,NA,2021.6,NA
2021.6,MNsv,113228.23,2021.6,NA
2021.6,QNsv,NA,2021.6,NA
2021.86,BXsv,NA,2021.86,NA
2021.86,BKsv,NA,2021.86,NA
2021.86,MNsv,110693.26,2021.86,NA
2021.86,QNsv,NA,2021.86,NA
2022,BXsv,NA,2022,NA
2022,BKsv,NA,2022,NA
2022,MNsv,108829.11,2022,NA
2022,QNsv,NA,2022,NA
