Year,Borough,CapRate,NYCcr
2009.99,BXcr,7.61,6.835
2009.99,BKcr,6.78,6.835
2010.28,QNcr,6.7,6.875
2010.28,MNcr,6.47,6.875
2010.28,BXcr,7.55,6.875
2010.28,BKcr,6.78,6.875
2008.89,QNcr,6.7,6.875
2008.89,MNcr,6.47,6.875
2008.89,BXcr,7.55,6.875
2008.89,BKcr,6.78,6.875
2010.22,QNcr,6.7,6.875
2010.22,MNcr,6.47,6.875
2010.22,BXcr,7.55,6.875
2010.22,BKcr,6.78,6.875
2010.49,QNcr,6.62,6.8675
2010.49,MNcr,6.66,6.8675
2010.49,BXcr,7.5,6.8675
2010.49,BKcr,6.69,6.8675
2008.99,QNcr,6.62,6.55375
2008.99,MNcr,6.66,6.55375
2008.99,BXcr,7.5,6.55375
2008.99,BKcr,6.69,6.55375
2010.45,QNcr,6.62,6.8675
2010.45,MNcr,6.66,6.8675
2010.45,BXcr,7.5,6.8675
2010.45,BKcr,6.69,6.8675
2010.72,QNcr,6.46,6.8225
2010.72,MNcr,6.87,6.8225
2010.72,BXcr,7.45,6.8225
2010.72,BKcr,6.51,6.8225
2009.13,QNcr,6.46,6.8225
2009.13,MNcr,6.87,6.8225
2009.13,BXcr,7.45,6.8225
2009.13,BKcr,6.51,6.8225
2010.67,QNcr,6.46,6.8225
2010.67,MNcr,6.87,6.8225
2010.67,BXcr,7.45,6.8225
2010.67,BKcr,6.51,6.8225
2010.93,QNcr,6.28,6.7475000000000005
2010.93,MNcr,6.97,6.7475000000000005
2010.93,BXcr,7.41,6.7475000000000005
2010.93,BKcr,6.33,6.7475000000000005
2009.34,QNcr,6.28,6.7475000000000005
2009.34,MNcr,6.97,6.7475000000000005
2009.34,BXcr,7.41,6.7475000000000005
2009.34,BKcr,6.33,6.7475000000000005
2010.9,QNcr,6.28,6.7475000000000005
2010.9,MNcr,6.97,6.7475000000000005
2010.9,BXcr,7.41,6.7475000000000005
2010.9,BKcr,6.33,6.7475000000000005
2011.16,QNcr,6.12,6.6425
2011.16,MNcr,6.9,6.6425
2011.16,BXcr,7.38,6.6425
2011.16,BKcr,6.17,6.6425
2009.56,QNcr,6.12,6.6425
2009.56,MNcr,6.9,6.6425
2009.56,BXcr,7.38,6.6425
2009.56,BKcr,6.17,6.6425
2011.13,QNcr,6.12,6.6425
2011.13,MNcr,6.9,6.6425
2011.13,BXcr,7.38,6.6425
2011.13,BKcr,6.17,6.6425
2011.12,QNcr,6.12,6.6425
2011.12,MNcr,6.9,6.6425
2011.12,BXcr,7.38,6.6425
2011.12,BKcr,6.17,6.6425
2011.39,QNcr,6.03,6.5725
2011.39,MNcr,6.76,6.5725
2011.39,BXcr,7.39,6.5725
2011.39,BKcr,6.11,6.5725
2009.79,QNcr,6.03,6.5725
2009.79,MNcr,6.76,6.5725
2009.79,BXcr,7.39,6.5725
2009.79,BKcr,6.11,6.5725
2011.35,QNcr,6.03,6.5725
2011.35,MNcr,6.76,6.5725
2011.35,BXcr,7.39,6.5725
2011.35,BKcr,6.11,6.5725
2011.62,QNcr,6.02,6.56
2011.62,MNcr,6.59,6.56
2011.62,BXcr,7.45,6.56
2011.62,BKcr,6.18,6.56
2010.01,QNcr,6.02,6.56
2010.01,MNcr,6.59,6.56
2010.01,BXcr,7.45,6.56
2010.01,BKcr,6.18,6.56
2011.58,QNcr,6.02,6.56
2011.58,MNcr,6.59,6.56
2011.58,BXcr,7.45,6.56
2011.58,BKcr,6.18,6.56
2011.57,QNcr,6.02,6.56
2011.57,MNcr,6.59,6.56
2011.57,BXcr,7.45,6.56
2011.57,BKcr,6.18,6.56
2011.84,QNcr,6.04,6.6175
2011.84,MNcr,6.55,6.6175
2011.84,BXcr,7.55,6.6175
2011.84,BKcr,6.33,6.6175
2010.24,QNcr,6.04,6.6175
2010.24,MNcr,6.55,6.6175
2010.24,BXcr,7.55,6.6175
2010.24,BKcr,6.33,6.6175
2011.81,QNcr,6.04,6.6175
2011.81,MNcr,6.55,6.6175
2011.81,BXcr,7.55,6.6175
2011.81,BKcr,6.33,6.6175
2011.8,QNcr,6.04,6.6175
2011.8,MNcr,6.55,6.6175
2011.8,BXcr,7.55,6.6175
2011.8,BKcr,6.33,6.6175
2012.07,QNcr,6.06,6.6925
2012.07,MNcr,6.62,6.6925
2012.07,BXcr,7.63,6.6925
2012.07,BKcr,6.46,6.6925
2010.47,QNcr,6.06,6.6925
2010.47,MNcr,6.62,6.6925
2010.47,BXcr,7.63,6.6925
2010.47,BKcr,6.46,6.6925
2012.03,QNcr,6.06,6.6925
2012.03,MNcr,6.62,6.6925
2012.03,BXcr,7.63,6.6925
2012.03,BKcr,6.46,6.6925
2012.3,QNcr,6.04,6.74
2012.3,MNcr,6.72,6.74
2012.3,BXcr,7.68,6.74
2012.3,BKcr,6.52,6.74
2010.69,QNcr,6.04,6.74
2010.69,MNcr,6.72,6.74
2010.69,BXcr,7.68,6.74
2010.69,BKcr,6.52,6.74
2012.26,QNcr,6.04,6.74
2012.26,MNcr,6.72,6.74
2012.26,BXcr,7.68,6.74
2012.26,BKcr,6.52,6.74
2012.25,QNcr,6.04,6.74
2012.25,MNcr,6.72,6.74
2012.25,BXcr,7.68,6.74
2012.25,BKcr,6.52,6.74
2012.52,QNcr,5.93,6.717499999999999
